Standard_functions_variables_types;name;type;comment;;;;
;SUB;1;(ANY_NUM, ANY_NUM);ANY_NUM;"Subtraction";no;
;DIV;1;(ANY_NUM, ANY_NUM);ANY_NUM;"Division";no;
;MOD;1;(ANY_INT, ANY_INT);ANY_INT;"Remainder (modulo)";no;
;EXPT;1;(ANY_REAL, ANY_NUM);ANY_REAL;"Exponent";no;
;MOVE;1;(ANY);ANY;"Assignment";no;
("Time");ADD;1;(TIME, TIME);TIME;"Time addition";no;
;ADD_TIME;1;(TIME, TIME);TIME;"Time addition";no;
;ADD;1;(TOD, TIME);TOD;"Time-of-day addition"+" "+"DEPRECATED";no;
;ADD_TOD_TIME;1;(TOD, TIME);TOD;"Time-of-day addition";no;
;ADD;1;(DT, TIME);DT;"Date addition"+" "+"DEPRECATED";no;
;ADD_DT_TIME;1;(DT, TIME);DT;"Date addition";no;
;MUL;1;(TIME, ANY_NUM);TIME;"Time multiplication"+" "+"DEPRECATED";no;
;MULTIME;1;(TIME, ANY_NUM);TIME;"Time multiplication";no;
;SUB_TIME;1;(TIME, TIME);TIME;"Time subtraction";no;
;SUB;1;(TIME, TIME);TIME;"Time subtraction";no;
;SUB;1;(DATE, DATE);TIME;"Date subtraction"+" "+"DEPRECATED";no;
;SUB_DATE_DATE;1;(DATE, DATE);TIME;"Date subtraction";no;
;SUB;1;(TOD, TIME);TOD;"Time-of-day subtraction"+" "+"DEPRECATED";no;
;SUB_TOD_TIME;1;(TOD, TIME);TOD;"Time-of-day subtraction";no;
;SUB;1;(TOD, TOD);TIME;"Time-of-day subtraction"+" "+"DEPRECATED";no;
;SUB_TOD_TOD;1;(TOD, TOD);TIME;"Time-of-day subtraction";no;
;SUB;1;(DT, TIME);DT;"Date and time subtraction"+" "+"DEPRECATED";no;
;SUB_DT_TIME;1;(DT, TIME);DT;"Date and time subtraction";no;
;SUB;1;(DT, DT);TIME;"Date and time subtraction"+" "+"DEPRECATED";no;
;SUB_DT_DT;1;(DT, DT);TIME;"Date and time subtraction";no;
;DIV;1;(TIME, ANY_NUM);TIME;"Time division"+" "+"DEPRECATED";no;
;DIVTIME;1;(TIME, ANY_NUM);TIME;"Time division";no;
("Bit-shift");SHL;1;(ANY_BIT, N);ANY_BIT;"Shift left";no;
;SHR;1;(ANY_BIT, N);ANY_BIT;"Shift right";no;
;ROR;1;(ANY_NBIT, N);ANY_NBIT;"Rotate right";no;
;ROL;1;(ANY_NBIT, N);ANY_NBIT;"Rotate left";no;
("Bitwise");AND;1;(ANY_BIT, ANY_BIT);ANY_BIT;"Bitwise AND";yes;
;OR;1;(ANY_BIT, ANY_BIT);ANY_BIT;"Bitwise OR";yes;
;XOR;1;(ANY_BIT, ANY_BIT);ANY_BIT;"Bitwise XOR";yes;
;NOT;1;(ANY_BIT);ANY_BIT;"Bitwise inverting";no;
("Selection");SEL;0;(G, ANY, ANY);ANY;"Binary selection (1 of 2)";no;
;MAX;1;(ANY, ANY);ANY;"Maximum";yes;
;MIN;1;(ANY, ANY);ANY;"Minimum";yes;
;LIMIT;1;(MN, ANY, MX);ANY;"Limitation";no;
;MUX;0;(K, ANY, ANY);ANY;"Multiplexer (select 1 of N)";yes;
("Comparison");GT;1;(ANY, ANY);BOOL;"Greater than";yes;
;GE;1;(ANY, ANY);BOOL;"Greater than or equal to";yes;
;EQ;1;(ANY, ANY);BOOL;"Equal to";yes;
;LT;1;(ANY, ANY);BOOL;"Less than";yes;
;LE;1;(ANY, ANY);BOOL;"Less than or equal to";yes;
;NE;1;(ANY, ANY);BOOL;"Not equal to";no;
("Character string");LEN;1;(STRING);INT;"Length of string";no;
;LEFT;1;(STRING, L);STRING;"string left of";no;
;RIGHT;1;(STRING, L);STRING;"string right of";no;
;MID;1;(STRING, L, P);STRING;"string from the middle";no;
;CONCAT;1;(STRING, STRING);STRING;"Concatenation";yes;
;CONCAT_DATE_TOD;1;(DATE, TOD);DT;"Time concatenation";no;
;INSERT;1;(STRING, STRING, P);STRING;"Insertion (into)";no;
;DELETE;1;(STRING, L, P);STRING;"Deletion (within)";no;
;REPLACE;1;(STRING, STRING, L, P);STRING;"Replacement (within)";no;
;FIND;1;(STRING, STRING);INT;"Find position";no;
